first_name,second_name,goals_scored,assists,total_points,minutes,goals_conceded,creativity,influence,threat,bonus,bps,ict_index,clean_sheets,red_cards,yellow_cards,selected_by_percent,now_cost,element_type,can_select,chance_of_playing_next_round,points_per_game,penalties_saved,form,expected_goal_involvements,Predicted Points
Fábio,Ferreira Vieira,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0,0.0,54,MID,0,0.0,0.0,0,0.0,0.0,0.7578843
Gabriel,Fernando de Jesus,3,2,42,600,5,119.5,154.4,255,6,152.0,52.6,2,0,4,1.1,65,FWD,1,0.0,2.5,0,0.0,3.57,31.198643
Gabriel,dos Santos Magalhães,3,2,116,2348,22,208.6,583.0,287,9,342.0,108.0,10,0,4,30.5,64,DEF,1,100.0,4.3,0,4.0,3.91,111.03658
Kai,Havertz,9,3,96,1839,20,257.0,467.2,701,14,296.0,142.6,7,0,4,5.9,77,FWD,1,0.0,4.6,0,0.0,11.02,79.488655
Karl,Hein,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0,0.0,40,GK,0,0.0,0.0,0,0.0,0.0,0.7578843
Jurriën,Timber,1,2,101,2199,18,270.3,351.2,227,8,274.0,84.7,10,0,7,5.0,56,DEF,1,100.0,3.9,0,5.5,1.94,99.89231
Jorge Luiz,Frello Filho,0,0,16,540,5,69.8,37.4,5,0,82.0,11.3,2,0,4,0.2,47,MID,1,100.0,1.3,0,0.8,0.55,20.727818
Jakub,Kiwior,0,0,13,323,5,13.7,49.2,0,0,39.0,6.3,1,0,0,0.2,48,DEF,1,,1.6,0,0.0,0.03,11.842586
Gabriel,Martinelli Silva,6,3,93,1562,15,389.9,402.8,632,6,268.0,142.5,8,0,1,2.0,65,MID,1,100.0,3.9,0,1.0,7.61,86.34147
Ethan,Nwaneri,3,1,46,595,3,160.0,197.4,163,4,86.0,52.0,2,0,1,4.2,46,MID,1,100.0,2.4,0,1.8,2.02,47.81588
Martin,Ødegaard,2,4,76,1724,13,693.5,358.8,360,7,242.0,141.5,9,0,3,5.2,82,MID,1,100.0,3.6,0,3.2,8.95,101.81314
David,Raya Martin,0,0,117,2610,24,0.5,615.4,0,9,328.0,61.7,11,0,2,26.2,55,GK,1,100.0,4.0,0,4.2,0.01,88.37057
Declan,Rice,2,5,89,2154,22,761.6,521.6,260,11,350.0,153.9,9,1,3,2.9,62,MID,1,100.0,3.3,0,4.2,7.0,74.84903
Bukayo,Saka,5,11,107,1268,13,630.0,516.2,604,16,435.0,174.9,6,0,3,8.5,102,MID,1,50.0,6.7,0,0.0,9.77,145.43398
William,Saliba,2,0,114,2364,20,94.5,527.2,101,14,352.0,72.5,11,1,2,22.9,62,DEF,1,100.0,4.2,0,5.2,2.95,116.83659
Thomas,Partey,3,3,85,2185,22,316.1,487.4,142,6,365.0,94.9,7,0,4,0.8,49,MID,1,100.0,3.0,0,1.5,3.76,65.93694
Kieran,Tierney,0,0,6,77,0,37.7,15.8,11,0,10.0,6.5,0,0,0,0.0,43,DEF,1,100.0,1.0,0,0.8,0.49,15.476868
Tomiyasu,Takehiro,0,0,1,6,0,0.3,0.4,9,0,2.0,1.0,0,0,0,0.0,48,DEF,1,0.0,1.0,0,0.0,0.18,1.4202721
Leandro,Trossard,4,6,100,1899,18,503.3,405.2,544,10,316.0,144.9,9,1,2,3.1,68,MID,1,100.0,3.4,0,2.2,7.76,87.33449
Benjamin,White,0,1,29,703,7,57.3,133.4,35,0,112.0,22.5,3,0,2,2.1,61,DEF,1,100.0,2.6,0,0.5,0.52,41.038395
Oleksandr,Zinchenko,0,0,19,292,0,33.3,25.2,39,0,66.0,9.7,2,0,1,0.9,48,DEF,1,100.0,1.9,0,0.5,0.28,24.062551
Norberto,Murara Neto,0,0,7,180,2,0.0,77.8,0,0,30.0,7.8,0,0,0,0.7,41,GK,1,100.0,3.5,0,0.0,0.0,47.709404
Raheem,Sterling,0,1,17,303,2,81.2,39.8,99,0,29.0,21.8,1,0,1,0.8,67,MID,1,100.0,1.4,0,0.5,1.41,14.09288
Riccardo,Calafiori,2,1,37,921,12,116.2,249.6,174,1,123.0,53.9,1,0,4,1.3,58,DEF,1,100.0,2.2,0,0.5,1.54,36.0038
Myles,Lewis-Skelly,1,0,22,762,7,89.8,119.6,39,0,86.0,24.5,4,2,2,0.3,45,MID,1,100.0,1.6,0,0.5,0.33,20.445303
Mikel,Merino,5,1,68,1140,11,210.0,327.8,391,5,162.0,92.8,4,0,2,0.9,60,MID,1,100.0,3.2,0,4.0,4.77,83.25376
Salah-Eddine,Oulad M'hand,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0,0.0,45,MID,1,,0.0,0,0.0,0.0,0.7578843
Tommy,Setford,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0,0.1,45,GK,1,,0.0,0,0.0,0.0,0.7578843
Maldini,Kacurri,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0,0.1,40,DEF,0,0.0,0.0,0,0.0,0.0,0.7578843
Ismeal,Kabia,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0,0.0,45,MID,1,,0.0,0,0.0,0.0,0.7578843
Josh,Nichols,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0,0.1,40,DEF,1,,0.0,0,0.0,0.0,0.7578843
Nathan,Butler-Oyedeji,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0,0.2,45,FWD,1,,0.0,0,0.0,0.0,0.7578843
Mikel,Arteta,0,0,48,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0,3.7,15,AM,1,,0.0,0,4.5,0.0,30.612703
Jack,Porter,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0,0.0,40,GK,1,,0.0,0,0.0,0.0,0.7578843
Leon,Bailey,1,2,46,1131,19,234.8,144.4,323,2,0.0,69.8,2,0,3,0.8,62,MID,1,100.0,2.0,0,0.7,4.65,34.55626
Ross,Barkley,3,1,40,544,9,115.5,203.4,185,5,159.0,50.3,1,0,3,0.2,52,MID,1,50.0,2.5,0,0.0,2.09,31.198643
Enzo,Barrenechea,0,0,0,0,0,0.0,0.0,0,0,150.0,0.0,0,0,0,0.0,49,MID,0,0.0,0.0,0,0.0,0.0,0.7578843
Emiliano,Buendía Stati,0,0,11,89,2,23.2,16.4,16,0,0.0,5.2,0,0,1,0.1,51,MID,0,0.0,0.9,0,0.0,0.68,2.3072026
Matty,Cash,1,1,41,1395,18,133.9,247.8,111,1,37.0,49.3,2,0,6,0.9,44,DEF,1,100.0,2.2,0,0.7,1.23,39.252735
Leander,Dendoncker,0,0,0,0,0,0.0,0.0,0,0,133.0,0.0,0,0,0,0.2,45,MID,0,0.0,0.0,0,0.0,0.0,0.7578843
Moussa,Diaby,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0,0.0,65,MID,0,0.0,0.0,0,0.0,0.0,0.7578843
Diego Carlos,Santos Silva,0,0,21,828,15,9.2,150.6,54,1,0.0,21.5,2,0,1,0.3,45,DEF,0,0.0,2.1,0,0.0,0.72,25.540716
Lucas,Digne,0,5,75,2059,34,533.6,454.0,112,6,69.0,109.9,4,0,3,6.3,45,DEF,1,,2.7,0,2.3,4.36,60.81849
Lewis,Dobbin,0,0,0,0,0,0.0,0.0,0,0,275.0,0.0,0,0,0,0.0,50,MID,0,0.0,0.0,0,0.0,0.0,0.7578843
Jhon,Durán,7,0,53,622,14,68.9,273.8,334,9,0.0,67.5,2,1,3,1.7,57,FWD,0,0.0,2.6,0,0.0,5.35,32.435677
Joe,Gauci,0,0,0,0,0,0.0,0.0,0,0,222.0,0.0,0,0,0,0.6,40,GK,0,0.0,0.0,0,0.0,0.0,0.7578843
Kortney,Hause,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0,0.6,39,DEF,1,,0.0,0,0.0,0.0,0.7578843
Samuel,Iling-Junior,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0,0.0,54,MID,0,0.0,0.0,0,0.0,0.0,0.7578843
Boubacar,Kamara,0,0,30,1077,18,110.7,214.4,34,1,0.0,36.1,2,0,2,0.0,50,MID,1,100.0,1.8,0,0.3,0.58,23.143368
